country,code,name,latitude,longitude,cities
AZ,35,Naxcivan,0,0,1
AZ,36,Neftcala,0,0,0
AZ,37,Oguz,0,0,0
AZ,38,Qabala,0,0,0
AZ,39,Qax,0,0,0
AZ,40,Qazax,0,0,0
AZ,41,Qobustan,0,0,0
AZ,42,Quba,0,0,0
AZ,43,Qubadli,0,0,0
AZ,44,Qusar,0,0,0
AZ,45,Saatli,0,0,0
AZ,46,Sabirabad,40.005211,48.471931,0
AZ,47,Saki,0,0,0
AZ,49,Salyan,0,0,1
AZ,50,Samaxi,0,0,0
AZ,51,Samkir,0,0,0
AZ,52,Samux,0,0,0
AZ,53,Siyazan,0,0,0
AZ,54,Sumqayit,0,0,1
AZ,55,Susa,0,0,0
AZ,57,Tartar,0,0,0
AZ,58,Tovuz,0,0,0
AZ,59,Ucar,0,0,0
AZ,60,Xacmaz,0,0,0
AZ,61,Xankandi,39.812351,46.751671,0
AZ,62,Xanlar,0,0,0
AZ,63,Xizi,0,0,0
AZ,64,Xocali,0,0,0
AZ,65,Xocavand,0,0,0
AZ,66,Yardimli,0,0,0
AZ,67,Yevlax,0,0,0
AZ,69,Zangilan,0,0,0
AZ,70,Zaqatala,0,0,0
AZ,71,Zardab,0,0,0
BA,1,Federation of Bosnia and Herzegovina,0,0,62
BA,2,Republika Srpska,0,0,28
BB,1,Christ Church,0,0,3
BB,2,Saint Andrew,0,0,0
BB,3,Saint George,0,0,2
BB,4,Saint James,0,0,4
BB,5,Saint John,0,0,1
BB,6,Saint Joseph,13.20232,-59.52676,0
BB,7,Saint Lucy,0,0,3
BB,8,Saint Michael,0,0,6
BB,9,Saint Peter,0,0,1
BB,10,Saint Philip,0,0,1
BB,11,Saint Thomas,0,0,1
BD,22,Bagerhat,22.65707,89.80368,0
BD,4,Bandarban,22.1619,92.1803,0
BD,25,Barguna,0,0,0
BD,1,Barisal,22.400712,90.42992,0
BD,23,Bhola,22.679489,90.643913,0
BD,24,Bogra,24.8444,89.3784,0
BD,26,Brahmanbaria,0,0,0
BD,27,Chandpur,23.222309,90.650513,0
BD,28,Chapai Nawabganj,0,0,0
BD,29,Chattagram,0,0,0
BD,30,Chuadanga,23.640779,88.685478,0
BD,5,Comilla,23.4358,91.189,0
BD,31,Cox's Bazar,0,0,0
BD,32,Dhaka,23.70548,90.411295,0
BD,33,Dinajpur,25.6255,88.6404,0
BD,34,Faridpur,23.440359,89.512733,0
BD,35,Feni,22.991859,91.389702,0
BD,36,Gaibandha,0,0,0
BD,37,Gazipur,22.43,89.18,0
BD,38,Gopalganj,0,0,0
BD,39,Habiganj,24.379789,91.409088,0
BD,40,Jaipurhat,0,0,0
BD,41,Jamalpur,24.9162,89.9426,0
BD,42,Jessore,23.1833,89.1666,0
BD,43,Jhalakati,0,0,0
BD,44,Jhenaidah,0,0,0
BD,45,Khagrachari,0,0,0
BD,46,Khulna,22.912098,89.279507,0
BD,47,Kishorganj,24.4258,90.7846,0
BD,48,Kurigram,0,0,0
BD,49,Kushtia,23.9345,88.9936,0
BD,50,Laksmipur,0,0,0
BD,51,Lalmonirhat,0,0,0
BD,52,Madaripur,23.1654,90.1986,0
BD,53,Magura,26.28,88.51,0
BD,54,Manikganj,0,0,0
BD,55,Meherpur,23.7712,88.6425,0
BD,56,Moulavibazar,0,0,0
BD,57,Munshiganj,23.549971,90.525223,0
BD,12,Mymensingh,24.7557,90.3981,0
BD,58,Naogaon,24.80452,88.935257,0
BD,59,Narail,23.16,89.5,0
BD,60,Narayanganj,23.619,90.4979,0
BD,61,Narsingdi,0,0,0
BD,62,Nator,24.4145,88.9915,0
BD,63,Netrakona,24.886101,90.729134,0
BD,64,Nilphamari,25.93454,88.849564,0
BD,13,Noakhali,22.81008,91.099747,0
BD,65,Pabna,24.0048,89.2579,0
BD,66,Panchagar,0,0,0
BD,67,Parbattya Chattagram,0,0,0
BD,15,Patuakhali,22.355881,90.242104,0
BD,68,Pirojpur,22.573521,89.987373,0
BD,69,Rajbari,23.754089,89.65197,0
BD,70,Rajshahi,25.228028,88.954334,0
BD,71,Rangpur,25.75,89.2333,0
BD,72,Satkhira,22.704399,89.082939,0
BD,73,Shariyatpur,0,0,0
BD,74,Sherpur,25.0164,90.0143,0
BD,75,Sirajganj,24.455391,89.699951,0
BD,76,Sunamganj,25.04562,91.387154,0
BD,77,Sylhet,24.589978,91.726587,0
BD,78,Tangail,24.2447,89.9243,0
BD,79,Thakurgaon,26.016667,88.466667,0
BE,1,Antwerpen,0,0,137
BE,2,Brabant,0,0,190
BE,10,Brabant Wallon,50.666348,4.555613,0
BE,11,Brussels Hoofdstedelijk Gewest,0,0,2
BE,3,Hainaut,0,0,124
BE,4,Liege,0,0,118
BE,5,Limbug,0,0,72
BE,6,Luxembourg,0,0,51
BE,7,Namur,0,0,67
BE,8,Oost-Vlaanderen,0,0,148
BE,12,Vlaams-Brabant,0,0,3
BE,9,West-Vlaanderen,0,0,122
BF,45,Bale,13.7,-0.616667,0
BF,15,Bam,0,0,0
BF,46,Banwa,0,0,0
BF,47,Bazega,0,0,0
BF,48,Bougouriba,0,0,0
BF,49,Boulgou,12.51166,0.832415,0
BF,19,Boulkiemde,0,0,0
BF,20,Ganzourgou,0,0,0
BF,21,Gnagna,0,0,0
BF,50,Gourma,12.933333,0.733333,0
BF,51,Houet,0,0,0
BF,52,Ioba,0,0,0
BF,53,Kadiogo,0,0,1
BF,54,Kenedougou,0,0,0
